date,doy,pet_mm
2015-01-01,1,1.134
2015-01-02,2,0.479
2015-01-03,3,0.587
2015-01-04,4,0.489
2015-01-05,5,0.177
2015-01-06,6,0.299
2015-01-07,7,0.322
2015-01-08,8,0.561
2015-01-09,9,0.466
2015-01-10,10,0.847
2015-01-11,11,0.532
2015-01-12,12,0.465
2015-01-13,13,0.464
2015-01-14,14,0.458
2015-01-15,15,0.95
2015-01-16,16,1.234
2015-01-17,17,1.436
2015-01-18,18,1.122
2015-01-19,19,0.463
2015-01-20,20,0.986
2015-01-21,21,0.586
2015-01-22,22,0.456
2015-01-23,23,1.082
2015-01-24,24,1.288
2015-01-25,25,0.343
2015-01-26,26,1.488
2015-01-27,27,1.088
2015-01-28,28,0.73
2015-01-29,29,0.743
2015-01-30,30,1.068
2015-01-31,31,0.239
2015-02-01,32,0.298
2015-02-02,33,0.479
2015-02-03,34,0.41
2015-02-04,35,0.491
2015-02-05,36,0.519
2015-02-06,37,0.947
2015-02-07,38,1.057
2015-02-08,39,0.64
2015-02-09,40,0.648
2015-02-10,41,0.609
2015-02-11,42,0.975
2015-02-12,43,0.682
2015-02-13,44,1.119
2015-02-14,45,0.95
2015-02-15,46,0.609
2015-02-16,47,0.733
2015-02-17,48,0.808
2015-02-18,49,0.725
2015-02-19,50,0.857
2015-02-20,51,1.372
2015-02-21,52,1.059
2015-02-22,53,0.871
2015-02-23,54,0.976
2015-02-24,55,1.618
2015-02-25,56,0.482
2015-02-26,57,0.671
2015-02-27,58,0.874
2015-02-28,59,0.855
2015-03-01,60,1.332
2015-03-02,61,0.989
2015-03-03,62,0.625
2015-03-04,63,1.409
2015-03-05,64,1.1
2015-03-06,65,2.523
2015-03-07,66,2.417
2015-03-08,67,2.178
2015-03-09,68,3.065
2015-03-10,69,3.779
2015-03-11,70,3.673
2015-03-12,71,4.267
2015-03-13,72,4.308
2015-03-14,73,3.52
2015-03-15,74,6.031
2015-03-16,75,8.27
2015-03-17,76,3.163
2015-03-18,77,3.375
2015-03-19,78,1.909
2015-03-20,79,4.344
2015-03-21,80,3.529
2015-03-22,81,4.527
2015-03-23,82,1.112
2015-03-24,83,0.401
2015-03-25,84,1.759
2015-03-26,85,2.65
2015-03-27,86,2.452
2015-03-28,87,4.057
2015-03-29,88,4.65
2015-03-30,89,8.92
2015-03-31,90,6.228
2015-04-01,91,11.06
2015-04-02,92,5.115
2015-04-03,93,3.76
2015-04-04,94,6.872
2015-04-05,95,7.579
2015-04-06,96,1.258
2015-04-07,97,0.28
2015-04-08,98,0.43
2015-04-09,99,0.489
2015-04-10,100,3.831
2015-04-11,101,6.633
2015-04-12,102,5.955
2015-04-13,103,6.216
2015-04-14,104,5.733
2015-04-15,105,7.558
2015-04-16,106,5.243
2015-04-17,107,4.457
2015-04-18,108,1.349
2015-04-19,109,1.313
2015-04-20,110,4.217
2015-04-21,111,5.306
2015-04-22,112,5.705
2015-04-23,113,4.943
2015-04-24,114,2.205
2015-04-25,115,1.359
2015-04-26,116,5.547
2015-04-27,117,6.346
2015-04-28,118,7.175
2015-04-29,119,6.994
2015-04-30,120,7.172
2015-05-01,121,4.225
2015-05-02,122,5.199
2015-05-03,123,7.246
2015-05-04,124,2.603
2015-05-05,125,2.845
2015-05-06,126,5.12
2015-05-07,127,3.411
2015-05-08,128,3.445
2015-05-09,129,5.167
2015-05-10,130,1.584
2015-05-11,131,1.839
2015-05-12,132,5.548
2015-05-13,133,8.08
2015-05-14,134,0.649
2015-05-15,135,2.918
2015-05-16,136,5.138
2015-05-17,137,4.45
2015-05-18,138,3.397
2015-05-19,139,4.057
2015-05-20,140,1.229
2015-05-21,141,7.994
2015-05-22,142,6.128
2015-05-23,143,5.409
2015-05-24,144,1.014
2015-05-25,145,5.337
2015-05-26,146,2.252
2015-05-27,147,6.558
2015-05-28,148,5.492
2015-05-29,149,3.351
2015-05-30,150,2.557
2015-05-31,151,6.373
2015-06-01,152,6.66
2015-06-02,153,4.821
2015-06-03,154,4.219
2015-06-04,155,4.302
2015-06-05,156,7.005
2015-06-06,157,4.356
2015-06-07,158,6.294
2015-06-08,159,8.18
2015-06-09,160,11.55
2015-06-10,161,8.99
2015-06-11,162,0.98
2015-06-12,163,1.397
2015-06-13,164,3.308
2015-06-14,165,3.474
2015-06-15,166,2.16
2015-06-16,167,6.827
2015-06-17,168,5.388
2015-06-18,169,5.029
2015-06-19,170,7.21
2015-06-20,171,3.955
2015-06-21,172,5.997
2015-06-22,173,4.323
2015-06-23,174,5.738
2015-06-24,175,1.401
2015-06-25,176,2.946
2015-06-26,177,3.345
2015-06-27,178,5.948
2015-06-28,179,5.886
2015-06-29,180,5.364
2015-06-30,181,3.898
2015-07-01,182,3.977
2015-07-02,183,3.278
2015-07-03,184,5.393
2015-07-04,185,5.795
2015-07-05,186,5.735
2015-07-06,187,1.657
2015-07-07,188,5.661
2015-07-08,189,4.365
2015-07-09,190,4.857
2015-07-10,191,5.622
2015-07-11,192,4.115
2015-07-12,193,6.406
2015-07-13,194,7.097
2015-07-14,195,6.582
2015-07-15,196,2.502
2015-07-16,197,2.467
2015-07-17,198,6.754
2015-07-18,199,6.449
2015-07-19,200,5.221
2015-07-20,201,4.712
2015-07-21,202,5.78
2015-07-22,203,4.267
2015-07-23,204,5.93
2015-07-24,205,5.059
2015-07-25,206,5.211
2015-07-26,207,4.858
2015-07-27,208,1.301
2015-07-28,209,0.76
2015-07-29,210,6.656
2015-07-30,211,6.281
2015-07-31,212,5.865
2015-08-01,213,5.348
2015-08-02,214,6.192
2015-08-03,215,5.609
2015-08-04,216,3.832
2015-08-05,217,2.845
2015-08-06,218,4.041
2015-08-07,219,4.822
2015-08-08,220,4.004
2015-08-09,221,4.002
2015-08-10,222,4.622
2015-08-11,223,5.518
2015-08-12,224,5.44
2015-08-13,225,4.07
2015-08-14,226,5.324
2015-08-15,227,5.627
2015-08-16,228,4.748
2015-08-17,229,1.588
2015-08-18,230,0.687
2015-08-19,231,2.007
2015-08-20,232,5.214
2015-08-21,233,6.106
2015-08-22,234,3.841
2015-08-23,235,5.39
2015-08-24,236,5.404
2015-08-25,237,4.938
2015-08-26,238,4.237
2015-08-27,239,1.88
2015-08-28,240,0.28
2015-08-29,241,1.643
2015-08-30,242,2.094
2015-08-31,243,4.042
2015-09-01,244,4.49
2015-09-02,245,5.234
2015-09-03,246,5.324
2015-09-04,247,5.085
2015-09-05,248,5.588
2015-09-06,249,5.859
2015-09-07,250,3.034
2015-09-08,251,3.096
2015-09-09,252,5.063
2015-09-10,253,4.315
2015-09-11,254,4.042
2015-09-12,255,3.648
2015-09-13,256,5.031
2015-09-14,257,5.501
2015-09-15,258,8.42
2015-09-16,259,6.277
2015-09-17,260,2.261
2015-09-18,261,1.348
2015-09-19,262,3.631
2015-09-20,263,4.696
2015-09-21,264,3.735
2015-09-22,265,3.087
2015-09-23,266,1.163
2015-09-24,267,2.992
2015-09-25,268,3.83
2015-09-26,269,3.998
2015-09-27,270,4.364
2015-09-28,271,3.201
2015-09-29,272,4.536
2015-09-30,273,3.695
2015-10-01,274,3.086
2015-10-02,275,3.659
2015-10-03,276,3.405
2015-10-04,277,0.935
2015-10-05,278,1.828
2015-10-06,279,1.465
2015-10-07,280,3.25
2015-10-08,281,4.305
2015-10-09,282,2.84
2015-10-10,283,4.083
2015-10-11,284,5.933
2015-10-12,285,6.906
2015-10-13,286,3.475
2015-10-14,287,3.572
2015-10-15,288,5.388
2015-10-16,289,3.175
2015-10-17,290,2.563
2015-10-18,291,4.787
2015-10-19,292,7.933
2015-10-20,293,4.283
2015-10-21,294,1.711
2015-10-22,295,1.994
2015-10-23,296,0.515
2015-10-24,297,2.302
2015-10-25,298,2.53
2015-10-26,299,2.546
2015-10-27,300,0.851
2015-10-28,301,1.011
2015-10-29,302,1.106
2015-10-30,303,1.658
2015-10-31,304,0.547
2015-11-01,305,3.217
2015-11-02,306,4.96
2015-11-03,307,1.873
2015-11-04,308,1.172
2015-11-05,309,2.453
2015-11-06,310,2.339
2015-11-07,311,2.152
2015-11-08,312,3.19
2015-11-09,313,2.729
2015-11-10,314,2.495
2015-11-11,315,0.978
2015-11-12,316,2.231
2015-11-13,317,2.228
2015-11-14,318,2.42
2015-11-15,319,2.551
2015-11-16,320,0.361
2015-11-17,321,0.15
2015-11-18,322,0.499
2015-11-19,323,2.812
2015-11-20,324,0.374
2015-11-21,325,0.805
2015-11-22,326,0.788
2015-11-23,327,0.999
2015-11-24,328,0.736
2015-11-25,329,1.06
2015-11-26,330,0.084
2015-11-27,331,0.348
2015-11-28,332,0.375
2015-11-29,333,0.529
2015-11-30,334,0.149
2015-12-01,335,0.457
2015-12-02,336,0.294
2015-12-03,337,0.926
2015-12-04,338,1.019
2015-12-05,339,0.914
2015-12-06,340,0.148
2015-12-07,341,0.759
2015-12-08,342,0.549
2015-12-09,343,1.111
2015-12-10,344,1.985
2015-12-11,345,0.962
2015-12-12,346,0.17
2015-12-13,347,0.071
2015-12-14,348,0.259
2015-12-15,349,0.173
2015-12-16,350,0.495
2015-12-17,351,1.178
2015-12-18,352,1.025
2015-12-19,353,0.981
2015-12-20,354,0.869
2015-12-21,355,0.136
2015-12-22,356,0.146
2015-12-23,357,0.084
2015-12-24,358,0.203
2015-12-25,359,0.198
2015-12-26,360,0.18
2015-12-27,361,0.326
2015-12-28,362,0.179
2015-12-29,363,0.382
2015-12-30,364,0.341
2015-12-31,365,0.544
