date,doy,pet_mm
2013-01-01,1,0.3302
2013-01-02,2,0.8128
2013-01-03,3,0.6858
2013-01-04,4,0.9652
2013-01-05,5,0.7366
2013-01-06,6,0.4572
2013-01-07,7,0.7874
2013-01-08,8,0.4064
2013-01-09,9,0.4318
2013-01-10,10,0.2286
2013-01-11,11,0.2794
2013-01-12,12,2.1844
2013-01-13,13,0.5588
2013-01-14,14,0.7112
2013-01-15,15,0.9144
2013-01-16,16,1.4224
2013-01-17,17,0.8128
2013-01-18,18,1.8542
2013-01-19,19,2.2352
2013-01-20,20,0.6604
2013-01-21,21,0.6604
2013-01-22,22,0.4826
2013-01-23,23,1.1938
2013-01-24,24,1.0668
2013-01-25,25,1.8034
2013-01-26,26,1.6002
2013-01-27,27,0.254
2013-01-28,28,0.1778
2013-01-29,29,0.3556
2013-01-30,30,0.8382
2013-01-31,31,0.6096
2013-02-01,32,1.016
2013-02-02,33,0.889
2013-02-03,34,1.0668
2013-02-04,35,0.4064
2013-02-05,36,0.762
2013-02-06,37,0.3556
2013-02-07,38,0.0508
2013-02-08,39,0.1016
2013-02-09,40,0.1778
2013-02-10,41,0.3556
2013-02-11,42,0.5588
2013-02-12,43,1.4732
2013-02-13,44,1.524
2013-02-14,45,0.9144
2013-02-15,46,1.27
2013-02-16,47,1.2192
2013-02-17,48,1.905
2013-02-18,49,1.1684
2013-02-19,50,1.27
2013-02-20,51,1.0668
2013-02-21,52,0.6096
2013-02-22,53,0.7366
2013-02-23,54,1.016
2013-02-24,55,1.016
2013-02-25,56,0.7874
2013-02-26,57,0.2794
2013-02-27,58,0.635
2013-02-28,59,0.7366
2013-03-01,60,0.7874
2013-03-02,61,1.1684
2013-03-03,62,1.1938
2013-03-04,63,0.4826
2013-03-05,64,0.7366
2013-03-06,65,0.7874
2013-03-07,66,1.0414
2013-03-08,67,1.2446
2013-03-09,68,0.0508
2013-03-10,69,0.0254
2013-03-11,70,0.9398
2013-03-12,71,1.2446
2013-03-13,72,1.3716
2013-03-14,73,1.651
2013-03-15,74,1.1176
2013-03-16,75,0.9906
2013-03-17,76,1.9558
2013-03-18,77,1.397
2013-03-19,78,2.3876
2013-03-20,79,1.905
2013-03-21,80,1.778
2013-03-22,81,1.6002
2013-03-23,82,1.4732
2013-03-24,83,0.381
2013-03-25,84,1.9304
2013-03-26,85,1.8542
2013-03-27,86,2.2606
2013-03-28,87,2.6416
2013-03-29,88,3.429
2013-03-30,89,1.2446
2013-03-31,90,3.2258
2013-04-01,91,2.8448
2013-04-02,92,2.9718
2013-04-03,93,3.2004
2013-04-04,94,4.8768
2013-04-05,95,4.8768
2013-04-06,96,3.9878
2013-04-07,97,3.302
2013-04-08,98,4.445
2013-04-09,99,0.8636
2013-04-10,100,0.6604
2013-04-11,101,0.7874
2013-04-12,102,0.8382
2013-04-13,103,3.2766
2013-04-14,104,1.651
2013-04-15,105,1.4478
2013-04-16,106,3.1242
2013-04-17,107,0.0508
2013-04-18,108,0.7366
2013-04-19,109,2.1844
2013-04-20,110,3.2766
2013-04-21,111,5.1562
2013-04-22,112,1.9558
2013-04-23,113,1.651
2013-04-24,114,5.0038
2013-04-25,115,5.6642
2013-04-26,116,6.2484
2013-04-27,117,5.1562
2013-04-28,118,6.0706
2013-04-29,119,5.5118
2013-04-30,120,8.6614
2013-05-01,121,1.7526
2013-05-02,122,1.3462
2013-05-03,123,1.143
2013-05-04,124,0.8636
2013-05-05,125,2.1336
2013-05-06,126,5.08
2013-05-07,127,5.4864
2013-05-08,128,4.1656
2013-05-09,129,2.032
2013-05-10,130,4.191
2013-05-11,131,7.6708
2013-05-12,132,6.7564
2013-05-13,133,7.8486
2013-05-14,134,12.8016
2013-05-15,135,8.8392
2013-05-16,136,6.7818
2013-05-17,137,5.4102
2013-05-18,138,6.9088
2013-05-19,139,7.7978
2013-05-20,140,6.6294
2013-05-21,141,4.1656
2013-05-22,142,2.5146
