date,doy,pet_mm
2018-08-03,215,6.133
2018-08-04,216,2.92
2018-08-05,217,3.293
2018-08-06,218,3.736
2018-08-07,219,4.451
2018-08-08,220,5.319
2018-08-09,221,5.821
2018-08-10,222,5.924
2018-08-11,223,4.295
2018-08-12,224,5.725
2018-08-13,225,5.895
2018-08-14,226,2.13
2018-08-15,227,3.73
2018-08-16,228,2.101
2018-08-17,229,4.804
2018-08-18,230,4.415
2018-08-19,231,3.287
2018-08-20,232,1.112
2018-08-21,233,2.658
2018-08-22,234,4.63
2018-08-23,235,4.105
2018-08-24,236,2.589
2018-08-25,237,4.729
2018-08-26,238,2.302
2018-08-27,239,5.241
2018-08-28,240,1.292
2018-08-29,241,4.388
2018-08-30,242,3.213
2018-08-31,243,4.072
2018-09-01,244,2.786
2018-09-02,245,1.635
2018-09-03,246,1.153
2018-09-04,247,3.829
2018-09-05,248,1.465
2018-09-06,249,3.338
2018-09-07,250,2.516
2018-09-08,251,4.627
2018-09-09,252,3.618
2018-09-10,253,4.418
2018-09-11,254,5.225
2018-09-12,255,5.428
2018-09-13,256,4.533
2018-09-14,257,4.581
2018-09-15,258,5.022
2018-09-16,259,5.298
2018-09-17,260,5.283
2018-09-18,261,1.22
2018-09-19,262,2.811
2018-09-20,263,6.853
2018-09-21,264,3.125
2018-09-22,265,3.543
2018-09-23,266,4.677
2018-09-24,267,4.005
2018-09-25,268,0.545
2018-09-26,269,4.274
2018-09-27,270,4.515
2018-09-28,271,1.537
2018-09-29,272,0.611
2018-09-30,273,0.399
2018-10-01,274,0.292
2018-10-02,275,0.716
2018-10-03,276,4.607
2018-10-04,277,3.405
2018-10-05,278,0.547
2018-10-06,279,0.816
2018-10-07,280,0.332
2018-10-08,281,1.009
2018-10-09,282,0.503
2018-10-10,283,1.192
2018-10-11,284,1.563
2018-10-12,285,0.631
2018-10-13,286,1.78
2018-10-14,287,0.126
2018-10-15,288,2.42
2018-10-16,289,3.561
2018-10-17,290,2.454
2018-10-18,291,3.727
2018-10-19,292,2.95
2018-10-20,293,2.883
2018-10-21,294,3.19
2018-10-22,295,3.157
2018-10-23,296,2.212
2018-10-24,297,2.549
2018-10-25,298,1.064
2018-10-26,299,1.515
2018-10-27,300,2.534
2018-10-28,301,3.589
2018-10-29,302,2.77
2018-10-30,303,2.05
2018-10-31,304,1.878
2018-11-01,305,1.82
2018-11-02,306,1.103
2018-11-03,307,0.068
2018-11-04,308,0.341
2018-11-05,309,0.277
2018-11-06,310,0.993
2018-11-07,311,0.718
2018-11-08,312,0.486
2018-11-09,313,0.864
2018-11-10,314,0.716
2018-11-11,315,1.234
2018-11-12,316,0.783
2018-11-13,317,0.991
2018-11-14,318,1.764
2018-11-15,319,2.044
