date,doy,pet_mm
2017-01-01,1,0.644
2017-01-02,2,0.199
2017-01-03,3,0.526
2017-01-04,4,0.505
2017-01-05,5,0.476
2017-01-06,6,0.443
2017-01-07,7,0.584
2017-01-08,8,0.547
2017-01-09,9,0.455
2017-01-10,10,0.345
2017-01-11,11,0.26
2017-01-12,12,0.62
2017-01-13,13,0.5
2017-01-14,14,0.619
2017-01-15,15,0.474
2017-01-16,16,0.124
2017-01-17,17,0.257
2017-01-18,18,0.716
2017-01-19,19,0.212
2017-01-20,20,0.225
2017-01-21,21,0.304
2017-01-22,22,0.16
2017-01-23,23,0.194
2017-01-24,24,0.191
2017-01-25,25,0.311
2017-01-26,26,0.515
2017-01-27,27,0.705
2017-01-28,28,0.559
2017-01-29,29,0.825
2017-01-30,30,1.117
2017-01-31,31,0.824
2017-02-01,32,0.745
2017-02-02,33,0.855
2017-02-03,34,1.175
2017-02-04,35,1.767
2017-02-05,36,0.87
2017-02-06,37,1.127
2017-02-07,38,0.349
2017-02-08,39,0.785
2017-02-09,40,0.84
2017-02-10,41,1.647
2017-02-11,42,0.768
2017-02-12,43,2.063
2017-02-13,44,2.137
2017-02-14,45,1.691
2017-02-15,46,1.52
2017-02-16,47,1.602
2017-02-17,48,3.448
2017-02-18,49,1.925
2017-02-19,50,2.431
2017-02-20,51,0.246
2017-02-21,52,2.854
2017-02-22,53,4.38
2017-02-23,54,0.498
2017-02-24,55,0.382
2017-02-25,56,1.281
2017-02-26,57,1.671
2017-02-27,58,2.066
2017-02-28,59,1.176
2017-03-01,60,1.038
2017-03-02,61,0.968
2017-03-03,62,1.885
2017-03-04,63,3.285
2017-03-05,64,1.9
2017-03-06,65,4.32
2017-03-07,66,3.782
2017-03-08,67,3.985
2017-03-09,68,2.288
2017-03-10,69,1.403
2017-03-11,70,1.357
2017-03-12,71,1.213
2017-03-13,72,0.858
2017-03-14,73,1.407
2017-03-15,74,1.685
2017-03-16,75,2.381
2017-03-17,76,3.643
2017-03-18,77,2.305
2017-03-19,78,4.761
2017-03-20,79,4.46
2017-03-21,80,2.764
2017-03-22,81,2.68
2017-03-23,82,3.092
2017-03-24,83,0.575
2017-03-25,84,0.252
2017-03-26,85,0.58
2017-03-27,86,1.207
2017-03-28,87,1.009
2017-03-29,88,0.195
2017-03-30,89,0.409
2017-03-31,90,0.974
2017-04-01,91,1.983
2017-04-02,92,0.617
2017-04-03,93,0.333
2017-04-04,94,2.599
2017-04-05,95,2.119
2017-04-06,96,4.079
2017-04-07,97,5.226
2017-04-08,98,6.441
2017-04-09,99,4.731
2017-04-10,100,2.125
2017-04-11,101,4.046
2017-04-12,102,4.008
2017-04-13,103,3.689
2017-04-14,104,1.566
2017-04-15,105,2.953
2017-04-16,106,5.444
2017-04-17,107,5.735
2017-04-18,108,2.102
2017-04-19,109,2.317
2017-04-20,110,2.095
2017-04-21,111,3.959
2017-04-22,112,5.215
2017-04-23,113,7.796
2017-04-24,114,9.64
2017-04-25,115,3.448
2017-04-26,116,1.567
2017-04-27,117,2.089
2017-04-28,118,0.895
2017-04-29,119,1.325
2017-04-30,120,0.241
2017-05-01,121,1.084
2017-05-02,122,4.788
2017-05-03,123,4.42
2017-05-04,124,5.935
2017-05-05,125,7.191
2017-05-06,126,6.799
2017-05-07,127,6.82
2017-05-08,128,6.557
2017-05-09,129,5.687
2017-05-10,130,1.615
2017-05-11,131,5.29
2017-05-12,132,6.331
2017-05-13,133,9.57
2017-05-14,134,9.03
2017-05-15,135,6.887
2017-05-16,136,8.65
2017-05-17,137,3.781
2017-05-18,138,2.542
2017-05-19,139,0.525
2017-05-20,140,1.207
2017-05-21,141,2.309
2017-05-22,142,5.61
2017-05-23,143,2.334
2017-05-24,144,2.285
2017-05-25,145,5.645
2017-05-26,146,4.524
2017-05-27,147,2.408
2017-05-28,148,8.6
2017-05-29,149,8.53
2017-05-30,150,9.49
2017-05-31,151,7.046
2017-06-01,152,7.581
2017-06-02,153,8.65
2017-06-03,154,10.17
2017-06-04,155,8.86
2017-06-05,156,9.98
2017-06-06,157,8.04
2017-06-07,158,7.941
2017-06-08,159,9.95
2017-06-09,160,10.15
2017-06-10,161,11.2
2017-06-11,162,10.82
2017-06-12,163,6.533
2017-06-13,164,10.15
2017-06-14,165,4.578
2017-06-15,166,7.815
2017-06-16,167,6.475
2017-06-17,168,3.221
2017-06-18,169,5.928
2017-06-19,170,6.148
2017-06-20,171,9.3
2017-06-21,172,6.759
2017-06-22,173,7.002
2017-06-23,174,6.565
2017-06-24,175,8.76
2017-06-25,176,7.085
2017-06-26,177,5.833
2017-06-27,178,8.03
2017-06-28,179,5.436
2017-06-29,180,5.167
2017-06-30,181,5.713
2017-07-01,182,6.961
2017-07-02,183,4.958
2017-07-03,184,5.824
2017-07-04,185,5.99
2017-07-05,186,6.275
2017-07-06,187,7.589
2017-07-07,188,7.802
2017-07-08,189,6.399
2017-07-09,190,7.077
2017-07-10,191,6.013
2017-07-11,192,4.452
2017-07-12,193,3.526
2017-07-13,194,6.056
2017-07-14,195,5.92
2017-07-15,196,6.589
2017-07-16,197,6.803
2017-07-17,198,5.631
2017-07-18,199,4.151
2017-07-19,200,7.555
2017-07-20,201,6.087
2017-07-21,202,1.824
2017-07-22,203,4.238
2017-07-23,204,6.55
2017-07-24,205,5.696
2017-07-25,206,6.555
2017-07-26,207,1.855
2017-07-27,208,6.414
2017-07-28,209,5.466
2017-07-29,210,6.399
2017-07-30,211,5.615
2017-07-31,212,5.453
2017-08-01,213,4.886
2017-08-02,214,5.37
2017-08-03,215,4.421
2017-08-04,216,4.992
2017-08-05,217,3.085
2017-08-06,218,3.71
2017-08-07,219,5.243
2017-08-08,220,5.222
2017-08-09,221,4.944
2017-08-10,222,5.261
2017-08-11,223,5.332
2017-08-12,224,4.671
2017-08-13,225,3.553
2017-08-14,226,2.551
2017-08-15,227,0.818
2017-08-16,228,3
2017-08-17,229,4.116
2017-08-18,230,4.352
2017-08-19,231,4.547
2017-08-20,232,4.864
2017-08-21,233,2.143
2017-08-22,234,5.285
2017-08-23,235,4.782
2017-08-24,236,3.836
2017-08-25,237,4.531
2017-08-26,238,3.934
2017-08-27,239,2.883
2017-08-28,240,2.774
2017-08-29,241,3.542
2017-08-30,242,3.966
2017-08-31,243,3.719
2017-09-01,244,4.109
2017-09-02,245,3.993
2017-09-03,246,5.558
2017-09-04,247,2.671
2017-09-05,248,5.359
2017-09-06,249,3.931
2017-09-07,250,4.616
2017-09-08,251,4.974
2017-09-09,252,4.543
2017-09-10,253,5.154
2017-09-11,254,4.751
2017-09-12,255,4.03
2017-09-13,256,4.296
2017-09-14,257,7.071
2017-09-15,258,7.021
2017-09-16,259,2.593
2017-09-17,260,3.411
2017-09-18,261,1.18
2017-09-19,262,3.759
2017-09-20,263,4.427
2017-09-21,264,5.213
2017-09-22,265,6.26
2017-09-23,266,5.835
2017-09-24,267,5.273
2017-09-25,268,2.332
2017-09-26,269,1.623
2017-09-27,270,2.461
2017-09-28,271,3.866
2017-09-29,272,4.052
2017-09-30,273,4.796
2017-10-01,274,4.308
2017-10-02,275,3.506
2017-10-03,276,2.434
2017-10-04,277,3.122
2017-10-05,278,0.479
2017-10-06,279,0.474
2017-10-07,280,0.728
2017-10-08,281,5.03
2017-10-09,282,5.104
2017-10-10,283,0.687
2017-10-11,284,1.771
2017-10-12,285,1.389
2017-10-13,286,0.239
2017-10-14,287,0.259
2017-10-15,288,2.964
2017-10-16,289,4.201
2017-10-17,290,4.188
2017-10-18,291,4.092
2017-10-19,292,4.312
2017-10-20,293,4.334
2017-10-21,294,2.089
2017-10-22,295,2.986
2017-10-23,296,3.129
2017-10-24,297,3.35
2017-10-25,298,3.576
2017-10-26,299,2.981
2017-10-27,300,1.291
2017-10-28,301,1.873
2017-10-29,302,1.496
2017-10-30,303,1.855
2017-10-31,304,1.38
2017-11-01,305,1.014
2017-11-02,306,1.106
2017-11-03,307,1.555
2017-11-04,308,0.4
2017-11-05,309,0.916
2017-11-06,310,1.08
2017-11-07,311,1.131
2017-11-08,312,1.833
2017-11-09,313,1.438
2017-11-10,314,1.567
2017-11-11,315,1.16
2017-11-12,316,0.705
2017-11-13,317,0.351
2017-11-14,318,0.257
2017-11-15,319,1.525
2017-11-16,320,0.274
2017-11-17,321,0.387
2017-11-18,322,1.067
2017-11-19,323,1.502
2017-11-20,324,3.493
2017-11-21,325,1.698
2017-11-22,326,1.438
2017-11-23,327,1.718
2017-11-24,328,3.569
2017-11-25,329,1.551
2017-11-26,330,1.468
2017-11-27,331,1.965
2017-11-28,332,2.159
2017-11-29,333,2.352
2017-11-30,334,2.678
2017-12-01,335,3.004
2017-12-02,336,1.252
2017-12-03,337,1.88
2017-12-04,338,2.253
2017-12-05,339,1.627
2017-12-06,340,1.076
2017-12-07,341,1.205
2017-12-08,342,1.151
2017-12-09,343,0.756
2017-12-10,344,1.502
2017-12-11,345,1.062
2017-12-12,346,1.025
2017-12-13,347,1.036
2017-12-14,348,0.699
2017-12-15,349,1.779
2017-12-16,350,1.352
2017-12-17,351,0.389
2017-12-18,352,1.488
2017-12-19,353,1.751
2017-12-20,354,1.708
2017-12-21,355,0.462
2017-12-22,356,0.436
2017-12-23,357,0.514
2017-12-24,358,0.503
2017-12-25,359,0.501
2017-12-26,360,0.45
2017-12-27,361,0.373
2017-12-28,362,0.29
2017-12-29,363,0.227
2017-12-30,364,0.271
2017-12-31,365,0.264
