date,doy,pet_mm
2014-09-05,248,2.182
2014-09-06,249,4.339
2014-09-07,250,5.023
2014-09-08,251,1.026
2014-09-09,252,1.154
2014-09-10,253,1.63
2014-09-11,254,1.834
2014-09-12,255,1.164
2014-09-13,256,3.665
2014-09-14,257,3.659
2014-09-15,258,1.968
2014-09-16,259,3.924
2014-09-17,260,3.163
2014-09-18,261,4.479
2014-09-19,262,4.081
2014-09-20,263,4.518
2014-09-21,264,4.417
2014-09-22,265,3.849
2014-09-23,266,3.61
2014-09-24,267,1.99
2014-09-25,268,3.706
2014-09-26,269,4.781
2014-09-27,270,4.215
2014-09-28,271,3.686
2014-09-29,272,3.275
2014-09-30,273,1.852
2014-10-01,274,1.089
2014-10-02,275,0.339
2014-10-03,276,2.645
2014-10-04,277,3.364
2014-10-05,278,3.592
2014-10-06,279,3.862
2014-10-07,280,5.312
2014-10-08,281,4.475
2014-10-09,282,3.13
2014-10-10,283,2.267
2014-10-11,284,2.961
2014-10-12,285,1.213
2014-10-13,286,0.247
2014-10-14,287,2.944
2014-10-15,288,3.83
2014-10-16,289,4.18
2014-10-17,290,3.019
2014-10-18,291,1.571
2014-10-19,292,3.044
2014-10-20,293,3.782
2014-10-21,294,2.977
2014-10-22,295,2.467
2014-10-23,296,1.664
2014-10-24,297,0.973
2014-10-25,298,3.481
2014-10-26,299,4.471
2014-10-27,300,1.928
2014-10-28,301,3.237
2014-10-29,302,2.126
2014-10-30,303,2.142
2014-10-31,304,1.961
2014-11-01,305,2.165
2014-11-02,306,4.026
2014-11-03,307,1.788
2014-11-04,308,2.829
2014-11-05,309,2.372
2014-11-06,310,1.873
2014-11-07,311,2.471
2014-11-08,312,2.126
2014-11-09,313,1.518
2014-11-10,314,1.802
2014-11-11,315,0.669
2014-11-12,316,0.872
2014-11-13,317,0.723
2014-11-14,318,0.761
2014-11-15,319,0.449
2014-11-16,320,0.631
2014-11-17,321,0.577
2014-11-18,322,0.626
2014-11-19,323,0.849
2014-11-20,324,0.75
2014-11-21,325,0.952
2014-11-22,326,0.807
2014-11-23,327,0.282
2014-11-24,328,0.674
2014-11-25,329,1.156
2014-11-26,330,0.357
2014-11-27,331,0.441
2014-11-28,332,0.637
2014-11-29,333,0.759
2014-11-30,334,0.65
2014-12-01,335,0.513
2014-12-02,336,1.339
2014-12-03,337,1.04
2014-12-04,338,0.992
2014-12-05,339,0.254
2014-12-06,340,0.779
2014-12-07,341,0.274
2014-12-08,342,0.775
2014-12-09,343,0.45
2014-12-10,344,0.28
2014-12-11,345,0.33
2014-12-12,346,0.32
2014-12-13,347,0.135
2014-12-14,348,0.207
2014-12-15,349,0.131
2014-12-16,350,0.475
2014-12-17,351,0.445
2014-12-18,352,0.269
2014-12-19,353,0.193
2014-12-20,354,0.143
2014-12-21,355,0.27
2014-12-22,356,0.108
2014-12-23,357,0.22
2014-12-24,358,0.242
2014-12-25,359,0.877
2014-12-26,360,0.018
2014-12-27,361,0.455
2014-12-28,362,0.525
2014-12-29,363,0.505
2014-12-30,364,0.44
2014-12-31,365,0.769
