date,doy,pet_mm
2014-01-01,1,0.303
2014-01-02,2,0.378
2014-01-03,3,0.646
2014-01-04,4,0.515
2014-01-05,5,0.488
2014-01-06,6,0.316
2014-01-07,7,0.277
2014-01-08,8,0.388
2014-01-09,9,0.325
2014-01-10,10,0.131
2014-01-11,11,0.432
2014-01-12,12,1.08
2014-01-13,13,1.216
2014-01-14,14,0.906
2014-01-15,15,1.042
2014-01-16,16,1.088
2014-01-17,17,0.695
2014-01-18,18,0.418
2014-01-19,19,2.242
2014-01-20,20,0.813
2014-01-21,21,0.369
2014-01-22,22,0.64
2014-01-23,23,0.481
2014-01-24,24,1.575
2014-01-25,25,1.473
2014-01-26,26,1.583
2014-01-27,27,0.571
2014-01-28,28,0.868
2014-01-29,29,2.359
2014-01-30,30,1.386
2014-01-31,31,0.637
2014-02-01,32,0.625
2014-02-02,33,0.662
2014-02-03,34,1.028
2014-02-04,35,0.315
2014-02-05,36,0.526
2014-02-06,37,0.544
2014-02-07,38,0.712
2014-02-08,39,0.499
2014-02-09,40,0.525
2014-02-10,41,0.509
2014-02-11,42,0.637
2014-02-12,43,0.868
2014-02-13,44,1.596
2014-02-14,45,0.685
2014-02-15,46,0.568
2014-02-16,47,0.931
2014-02-17,48,1.448
2014-02-18,49,2.266
2014-02-19,50,1.751
2014-02-20,51,0.217
2014-02-21,52,1.429
2014-02-22,53,1.305
2014-02-23,54,1.1
2014-02-24,55,0.786
2014-02-25,56,0.726
2014-02-26,57,0.958
2014-02-27,58,0.744
2014-02-28,59,1.079
2014-03-01,60,0.405
2014-03-02,61,0.571
2014-03-03,62,0.835
2014-03-04,63,1.338
2014-03-05,64,0.811
2014-03-06,65,1.046
2014-03-07,66,1.014
2014-03-08,67,1.213
2014-03-09,68,2.231
2014-03-10,69,2.659
2014-03-11,70,1.091
2014-03-12,71,1.55
2014-03-13,72,3.576
2014-03-14,73,2.987
2014-03-15,74,1.838
2014-03-16,75,1.544
2014-03-17,76,2.505
2014-03-18,77,1.472
2014-03-19,78,1.328
2014-03-20,79,3.137
2014-03-21,80,3.447
2014-03-22,81,1.902
2014-03-23,82,2.147
2014-03-24,83,1.571
2014-03-25,84,2.167
2014-03-26,85,4.595
2014-03-27,86,0.167
2014-03-28,87,0.822
2014-03-29,88,3.091
2014-03-30,89,5.685
2014-03-31,90,5.308
2014-04-01,91,2.514
2014-04-02,92,2.602
2014-04-03,93,0.39
2014-04-04,94,20.67
2014-04-05,95,0
2014-04-06,96,0
2014-04-07,97,0
2014-04-08,98,0
2014-04-09,99,0
2014-04-10,100,0
2014-04-11,101,0
2014-04-12,102,0
2014-04-13,103,4.844
2014-04-14,104,0
2014-04-15,105,0
2014-04-16,106,0
2014-04-17,107,0
2014-04-18,108,0
2014-04-19,109,0
2014-04-20,110,0
2014-04-21,111,0
2014-04-22,112,0
2014-04-23,113,0
2014-04-24,114,0
2014-04-25,115,0
2014-04-26,116,0
2014-04-27,117,0
2014-04-28,118,17.39
2014-04-29,119,20.8
2014-04-30,120,0
2014-05-01,121,0
2014-05-02,122,0
2014-05-03,123,0
2014-05-04,124,0
2014-05-05,125,0
2014-05-06,126,0
2014-05-07,127,0
2014-05-08,128,0
2014-05-09,129,0
2014-05-10,130,0
2014-05-11,131,0
2014-05-12,132,0
2014-05-13,133,0
2014-05-14,134,0
2014-05-15,135,0
2014-05-16,136,0
2014-05-17,137,6.825
2014-05-18,138,9.05
2014-05-19,139,4.87
2014-05-20,140,0
2014-05-21,141,0
2014-05-22,142,0
2014-05-23,143,0
2014-05-24,144,0
2014-05-25,145,2.794
2014-05-26,146,3.836
2014-05-27,147,0
2014-05-28,148,0
2014-05-29,149,0
2014-05-30,150,0
2014-05-31,151,6.283
2014-06-01,152,8.62
2014-06-02,153,7.888
2014-06-03,154,3.68
2014-06-04,155,3.778
2014-06-05,156,4.002
2014-06-06,157,6.849
2014-06-07,158,1.964
2014-06-08,159,5.598
2014-06-09,160,4.373
2014-06-10,161,5.705
2014-06-11,162,7.019
2014-06-12,163,8.05
2014-06-13,164,7.939
2014-06-14,165,9.07
2014-06-15,166,7.901
2014-06-16,167,5.284
2014-06-17,168,5.6
2014-06-18,169,5.369
2014-06-19,170,1.885
2014-06-20,171,7.501
2014-06-21,172,6.633
2014-06-22,173,2.338
2014-06-23,174,4.751
2014-06-24,175,5.963
2014-06-25,176,6.826
2014-06-26,177,3.116
2014-06-27,178,1.914
2014-06-28,179,3.712
2014-06-29,180,3.383
2014-06-30,181,0.797
2014-07-01,182,5.364
2014-07-02,183,0.974
2014-07-03,184,6.24
2014-07-04,185,6.778
2014-07-05,186,0
2014-07-06,187,5.12
2014-07-07,188,5.857
2014-07-08,189,7.366
2014-07-09,190,6.076
2014-07-10,191,7.293
2014-07-11,192,0
2014-07-12,193,2.97
2014-07-13,194,5.767
2014-07-14,195,0
2014-07-15,196,0
2014-07-16,197,0
2014-07-17,198,6.034
2014-07-18,199,5.534
2014-07-19,200,5.755
2014-07-20,201,6.686
2014-07-21,202,6.055
2014-07-22,203,5.604
2014-07-23,204,6.284
2014-07-24,205,3.845
2014-07-25,206,4.271
2014-07-26,207,3.71
2014-07-27,208,0
2014-07-28,209,0
2014-07-29,210,5.528
2014-07-30,211,5.811
2014-07-31,212,5.334
2014-08-01,213,5.52
2014-08-02,214,5.941
2014-08-03,215,5.65
2014-08-04,216,4.907
2014-08-05,217,1.746
2014-08-06,218,0.946
2014-08-07,219,1.279
2014-08-08,220,4.306
2014-08-09,221,4.596
2014-08-10,222,3.049
2014-08-11,223,5.636
2014-08-12,224,5.594
2014-08-13,225,5.48
2014-08-14,226,4.342
2014-08-15,227,0.83
2014-08-16,228,2.828
2014-08-17,229,4.8
2014-08-18,230,5.855
2014-08-19,231,5.377
2014-08-20,232,1.257
2014-08-21,233,3.771
2014-08-22,234,3.335
2014-08-23,235,3.036
2014-08-24,236,5.933
2014-08-25,237,5.217
2014-08-26,238,3.319
2014-08-27,239,2.269
2014-08-28,240,1.802
2014-08-29,241,3.002
2014-08-30,242,3.62
2014-08-31,243,3.848
2014-09-01,244,3.976
2014-09-02,245,4.689
2014-09-03,246,4.782
2014-09-04,247,6.111
