date,doy,pet_mm
2016-08-02,215,2.613
2016-08-03,216,5.284
2016-08-04,217,4.296
2016-08-05,218,5.972
2016-08-06,219,4.724
2016-08-07,220,2.951
2016-08-08,221,0.331
2016-08-09,222,4.573
2016-08-10,223,3.842
2016-08-11,224,4.051
2016-08-12,225,3.322
2016-08-13,226,5.343
2016-08-14,227,5.271
2016-08-15,228,3.676
2016-08-16,229,4.498
2016-08-17,230,4.77
2016-08-18,231,5.583
2016-08-19,232,3.574
2016-08-20,233,3.385
2016-08-21,234,4.771
2016-08-22,235,5.97
2016-08-23,236,4.114
2016-08-24,237,2.511
2016-08-25,238,2.454
2016-08-26,239,1.673
2016-08-27,240,2.188
2016-08-28,241,4.395
2016-08-29,242,2.529
2016-08-30,243,2.442
2016-08-31,244,5.33
2016-09-01,245,5.042
2016-09-02,246,4.634
2016-09-03,247,4.421
2016-09-04,248,4.218
2016-09-05,249,5.924
2016-09-06,250,5.809
2016-09-07,251,0.984
2016-09-08,252,4.313
2016-09-09,253,1.861
2016-09-10,254,4.852
2016-09-11,255,5.65
2016-09-12,256,5.079
2016-09-13,257,2.214
2016-09-14,258,3.752
2016-09-15,259,4.112
2016-09-16,260,2.367
2016-09-17,261,3.137
2016-09-18,262,5.686
2016-09-19,263,3.733
2016-09-20,264,5.892
2016-09-21,265,5.846
2016-09-22,266,2.748
2016-09-23,267,3.08
2016-09-24,268,4.419
2016-09-25,269,3.179
2016-09-26,270,6.448
2016-09-27,271,6.251
2016-09-28,272,1.926
2016-09-29,273,3.83
2016-09-30,274,1.685
2016-10-01,275,1.29
2016-10-02,276,3.052
2016-10-03,277,3.131
2016-10-04,278,4.398
2016-10-05,279,2.145
2016-10-06,280,1.063
2016-10-07,281,3.381
2016-10-08,282,4.516
2016-10-09,283,3.47
2016-10-10,284,2.809
2016-10-11,285,3.67
2016-10-12,286,1.078
2016-10-13,287,2.634
2016-10-14,288,1.372
2016-10-15,289,1.28
2016-10-16,290,2.069
2016-10-17,291,3.736
2016-10-18,292,3.076
2016-10-19,293,2.757
2016-10-20,294,1.726
2016-10-21,295,1.809
2016-10-22,296,2.471
2016-10-23,297,4.199
2016-10-24,298,2.075
