C_Year,Obs,C_Month,C_Day,C_Hour,C_Minute,dw_psp..Wm.2.,temp..Co.,rh....,Precip..mm.,windspd..ms.1.,doy
2018,1,1,1,0,0,0,-27.53,77.07,0,26.643,1
2018,2,1,1,1,0,0,-28.07,76.73,0,22.418,1
2018,3,1,1,2,0,0,-28.36,75.56,0,20.851,1
2018,4,1,1,3,0,0,-28.72,76.35,0,21.959,1
2018,5,1,1,4,0,0,-28.96,76.79,0,23.346,1
2018,6,1,1,5,0,0,-29.17,77.29,0,22.009,1
2018,7,1,1,6,0,0,-29.36,77.39,0,21.749,1
2018,8,1,1,7,0,0,-29.4,77.76,0,22.667,1
2018,9,1,1,8,0,5.44,-29.54,77.62,0,23.869,1
2018,10,1,1,9,0,102,-28.95,76.14,0,23.276,1
2018,11,1,1,10,0,236.5,-27.31,74.03,0,24.019,1
2018,12,1,1,11,0,350.4,-24.74,71.54,0,19.105,1
2018,13,1,1,12,0,421.6,-23.18,69.59,0,16.836,1
2018,14,1,1,13,0,439,-22.01,67.96,0,15.08,1
2018,15,1,1,14,0,400.8,-21.7,70,0,18.801,1
2018,16,1,1,15,0,312.6,-21.26,70.63,0,18.048,1
2018,17,1,1,16,0,188.2,-21.45,73.28,0,16.252,1
2018,18,1,1,17,0,55.09,-22.53,76.38,0,16.122,1
2018,19,1,1,18,0,0.39,-23.77,78.42,0,12.451,1
2018,20,1,1,19,0,0,-24.61,79.77,0,11.064,1
2018,21,1,1,20,0,0,-26.76,82.9,0,7.183,1
2018,22,1,1,21,0,0,-25.83,81.3,0,10.072,1
2018,23,1,1,22,0,0,-26.16,82.3,0,9.283,1
2018,24,1,1,23,0,0,-25.96,81.7,0,7.966,1
2018,25,1,2,0,0,0,-25.32,81.2,0,7.617,2
2018,26,1,2,1,0,0,-27.11,82.3,0,10.785,2
2018,27,1,2,2,0,0,-27.35,82.4,0,16.731,2
2018,28,1,2,3,0,0,-26.55,80.8,0,16.028,2
2018,29,1,2,4,0,0,-27.61,80.5,0,14.396,2
2018,30,1,2,5,0,0,-28.19,81.3,0,15.813,2
2018,31,1,2,6,0,0,-26.99,80,0,15.065,2
2018,32,1,2,7,0,0,-27.28,81,0,11.373,2
2018,33,1,2,8,0,6.11,-26.39,79.72,0,19.953,2
2018,34,1,2,9,0,110.8,-24.94,77.36,0,18.906,2
2018,35,1,2,10,0,241.6,-22.21,72.83,0,27.182,2
2018,36,1,2,11,0,347.9,-19.31,67.68,0,29.242,2
2018,37,1,2,12,0,417.7,-16.76,66.85,0,31.222,2
2018,38,1,2,13,0,437.5,-14.42,66.52,0,32.434,2
2018,39,1,2,14,0,404.6,-12.46,63.57,0,36.161,2
2018,40,1,2,15,0,308.7,-12.02,65.28,0,34.39,2
2018,41,1,2,16,0,169.3,-11.65,66.5,0,38.984,2
2018,42,1,2,17,0,28.77,-12.03,70.18,0,40.705,2
2018,43,1,2,18,0,0.39,-11.87,72.59,0,40.555,2
2018,44,1,2,19,0,0,-11.55,73.98,0,40.306,2
2018,45,1,2,20,0,0,-10.63,89.5,0,38.56,2
2018,46,1,2,21,0,0,-9.89,89.8,0,41.603,2
2018,47,1,2,22,0,0,-9.06,81.6,0,41.304,2
2018,48,1,2,23,0,0,-8.39,84,0,34.061,2
2018,49,1,3,0,0,0,-7.76,84.6,0,33.063,3
2018,50,1,3,1,0,0,-7.77,82.1,0,21.056,3
2018,51,1,3,2,0,0,-7.96,86.7,0,18.282,3
2018,52,1,3,3,0,0,-10.22,75.38,0,37.478,3
2018,53,1,3,4,0,0,-12.51,78.96,0,30.13,3
2018,54,1,3,5,0,0,-13.68,81.5,0,17.125,3
2018,55,1,3,6,0,0,-14.6,81.1,0,15.678,3
2018,56,1,3,7,0,0,-15.68,81.2,0,15.649,3
2018,57,1,3,8,0,4.67,-16.9,79.92,0,14.022,3
2018,58,1,3,9,0,99.5,-16.95,77.23,0,15.075,3
2018,59,1,3,10,0,233.7,-16.37,75.36,0,17.125,3
2018,60,1,3,11,0,347.1,-15.81,73.89,0,17.125,3
2018,61,1,3,12,0,415.5,-15.59,75.08,0,23.216,3
2018,62,1,3,13,0,437.7,-15.1,72.29,0,22.627,3
2018,63,1,3,14,0,400.4,-14.44,74.68,0,20.811,3
2018,64,1,3,15,0,314,-14.43,75.53,0,25.775,3
2018,65,1,3,16,0,195.5,-14.71,74.87,0,27.87,3
2018,66,1,3,17,0,56.66,-15.4,77.55,0,26.179,3
2018,67,1,3,18,0,0.38,-16.61,80.7,0,16.477,3
2018,68,1,3,19,0,0,-17.46,82.6,0,13.723,3
2018,69,1,3,20,0,0,-18.62,82.5,0,6.156,3
2018,70,1,3,21,0,0,-18.84,82.1,0,10.615,3
2018,71,1,3,22,0,0,-19.24,82.7,0,8.465,3
2018,72,1,3,23,0,0,-19.4,82.8,0,7.512,3
2018,73,1,4,0,0,0,-19.66,83.3,0,14.137,4
2018,74,1,4,1,0,0,-20.02,84,0,13.04,4
2018,75,1,4,2,0,0,-20.45,84.3,0,13.903,4
2018,76,1,4,3,0,0,-21.21,84.8,0,9.024,4
2018,77,1,4,4,0,0,-20.91,85,0,7.892,4
2018,78,1,4,5,0,0,-20.07,83.9,0,9.568,4
2018,79,1,4,6,0,0,-19.48,83.5,0,8.256,4
2018,80,1,4,7,0,0,-19.07,83.5,0,8.725,4
2018,81,1,4,8,0,2.51,-18.66,83.2,0,8.964,4
2018,82,1,4,9,0,43.17,-18.2,81.8,0,6.929,4
2018,83,1,4,10,0,128.9,-17.09,78.7,0,3.068,4
2018,84,1,4,11,0,217.6,-15.93,74.39,0,1.616,4
2018,85,1,4,12,0,279.7,-14.77,69.39,0,1.162,4
2018,86,1,4,13,0,292.3,-13.87,69.13,0,0.828,4
2018,87,1,4,14,0,222.4,-13.66,69.88,0,0.439,4
2018,88,1,4,15,0,165.7,-13.96,73.39,0,4.1,4
2018,89,1,4,16,0,81.6,-14.07,73.58,0,1.531,4
2018,90,1,4,17,0,19.06,-14.29,74.73,0,5.632,4
2018,91,1,4,18,0,0.4,-14.26,76.08,0,8.55,4
2018,92,1,4,19,0,0,-14.26,75.34,0,9.049,4
2018,93,1,4,20,0,0,-14.17,75.31,0,8.944,4
2018,94,1,4,21,0,0,-14.07,78.11,0,11.448,4
2018,95,1,4,22,0,0,-13.99,81.3,0,8.994,4
