date,doy,precip_mm
2019-09-07,250,3.75
2019-09-08,251,0.25
2019-09-09,252,35.5
2019-09-10,253,3.2
2019-09-11,254,6.925
2019-09-12,255,6.35
2019-09-13,256,0.025
2019-09-14,257,1.125
2019-09-15,258,0
2019-09-16,259,0.1
2019-09-17,260,0
2019-09-18,261,4.025
2019-09-19,262,0.6
2019-09-20,263,0
2019-09-21,264,7
2019-09-22,265,9.05
2019-09-23,266,0.025
2019-09-24,267,0
2019-09-25,268,0
2019-09-26,269,0
2019-09-27,270,3.25
2019-09-28,271,1.3250000000000002
2019-09-29,272,6.525
2019-09-30,273,0
2019-10-01,274,9.625
2019-10-02,275,12.225
2019-10-03,276,0
2019-10-04,277,0
2019-10-05,278,9.4
2019-10-06,279,0
2019-10-07,280,0
2019-10-08,281,0
2019-10-09,282,5.075
2019-10-10,283,13.2
2019-10-11,284,0.1
2019-10-12,285,0
2019-10-13,286,0
2019-10-14,287,0
2019-10-15,288,0
2019-10-16,289,0
2019-10-17,290,0
2019-10-18,291,0
2019-10-19,292,4.4
2019-10-20,293,0
2019-10-21,294,20.45
2019-10-22,295,1
2019-10-23,296,1.5499999999999998
2019-10-24,297,0
2019-10-25,298,0
2019-10-26,299,0
2019-10-27,300,0
2019-10-28,301,0
2019-10-29,302,1.675
2019-10-30,303,0
2019-10-31,304,0
2019-11-01,305,0
2019-11-02,306,0
2019-11-03,307,14.49
2019-11-04,308,10.14
2019-11-05,309,9.39
2019-11-06,310,0
2019-11-07,311,0
2019-11-08,312,0
2019-11-09,313,0
2019-11-10,314,0
2019-11-11,315,0
2019-11-12,316,0
2019-11-13,317,0
2019-11-14,318,0
2019-11-15,319,0
2019-11-16,320,1.27
2019-11-17,321,3.55
2019-11-18,322,0.25
2019-11-19,323,0
2019-11-20,324,0.25
2019-11-21,325,0
2019-11-22,326,0
2019-11-23,327,5.32
2019-11-24,328,0
2019-11-25,329,0
2019-11-26,330,0
2019-11-27,331,0
2019-11-28,332,0
2019-11-29,333,0
2019-11-30,334,0
2019-12-01,335,22.84
2019-12-02,336,4.0600000000000005
2019-12-03,337,0
2019-12-04,338,0
2019-12-05,339,0
2019-12-06,340,0
2019-12-07,341,0
2019-12-08,342,0
2019-12-09,343,0
2019-12-10,344,0
2019-12-11,345,0
2019-12-12,346,0
2019-12-13,347,0
2019-12-14,348,0
2019-12-15,349,0
2019-12-16,350,0
2019-12-17,351,0
2019-12-18,352,0
2019-12-19,353,0
2019-12-20,354,0
2019-12-21,355,0
2019-12-22,356,0
2019-12-23,357,0
2019-12-24,358,0
2019-12-25,359,0
2019-12-26,360,17.02
2019-12-27,361,21.09
2019-12-28,362,3.27
2019-12-29,363,0
2019-12-30,364,0
2019-12-31,365,0.25
