date,doy,pet_mm
2019-01-01,1,0.35
2019-01-02,2,0.918
2019-01-03,3,1.52
2019-01-04,4,1.203
2019-01-05,5,1.088
2019-01-06,6,0.405
2019-01-07,7,0.48
2019-01-08,8,1.852
2019-01-09,9,0.856
2019-01-10,10,0.84
2019-01-11,11,0.49
2019-01-12,12,0.237
2019-01-13,13,0.633
2019-01-14,14,0.141
2019-01-15,15,0.236
2019-01-16,16,0.357
2019-01-17,17,0.388
2019-01-18,18,0.314
2019-01-19,19,0.434
2019-01-20,20,0.283
2019-01-21,21,0.476
2019-01-22,22,0.224
2019-01-23,23,0.672
2019-01-24,24,0.553
2019-01-25,25,0.368
2019-01-26,26,0.347
2019-01-27,27,0.223
2019-01-28,28,0.432
2019-01-29,29,0.436
2019-01-30,30,0.241
2019-01-31,31,0.236
2019-02-01,32,0.463
2019-02-02,33,0.307
2019-02-03,34,0.359
2019-02-04,35,0.405
2019-02-05,36,0.22
2019-02-06,37,0.204
2019-02-07,38,0.358
2019-02-08,39,0.443
2019-02-09,40,0.554
2019-02-10,41,0.503
2019-02-11,42,0.268
2019-02-12,43,0.52
2019-02-13,44,0.669
2019-02-14,45,0.834
2019-02-15,46,0.437
2019-02-16,47,0.855
2019-02-17,48,0.61
2019-02-18,49,0.728
2019-02-19,50,0.505
2019-02-20,51,0.701
2019-02-21,52,1.001
2019-02-22,53,0.921
2019-02-23,54,0.413
2019-02-24,55,0.541
2019-02-25,56,0.541
2019-02-26,57,0.546
2019-02-27,58,0.726
2019-02-28,59,0.708
2019-03-01,60,1.026
2019-03-02,61,0.652
2019-03-03,62,0.607
2019-03-04,63,0.662
2019-03-05,64,0.952
2019-03-06,65,1.244
2019-03-07,66,0.652
2019-03-08,67,1.11
2019-03-09,68,0.322
2019-03-10,69,1.553
2019-03-11,70,1.803
2019-03-12,71,0.591
2019-03-13,72,0.289
2019-03-14,73,0.494
2019-03-15,74,2.072
2019-03-16,75,1.986
2019-03-17,76,1.079
2019-03-18,77,2.021
2019-03-19,78,1.798
2019-03-20,79,1.662
2019-03-21,80,2.844
2019-03-22,81,2.956
2019-03-23,82,2.185
2019-03-24,83,0.409
2019-03-25,84,0.889
2019-03-26,85,2.755
2019-03-27,86,3.939
2019-03-28,87,2.216
2019-03-29,88,1.224
2019-03-30,89,2.32
2019-03-31,90,2.791
2019-04-01,91,4.267
2019-04-02,92,2.972
2019-04-03,93,1.619
2019-04-04,94,1.213
2019-04-05,95,2.734
2019-04-06,96,4.343
2019-04-07,97,3.285
2019-04-08,98,7.194
2019-04-09,99,3.553
2019-04-10,100,0.543
2019-04-11,101,1.717
2019-04-12,102,1.818
2019-04-13,103,3.006
2019-04-14,104,3.305
2019-04-15,105,6.216
2019-04-16,106,5.88
2019-04-17,107,2.857
2019-04-18,108,2.861
2019-04-19,109,5.212
2019-04-20,110,7.784
2019-04-21,111,8.93
2019-04-22,112,1.741
2019-04-23,113,4.869
2019-04-24,114,5.127
2019-04-25,115,2.699
2019-04-26,116,6.194
2019-04-27,117,0.576
2019-04-28,118,2.36
2019-04-29,119,4.179
2019-04-30,120,0.628
2019-05-01,121,1.434
2019-05-02,122,3.31
2019-05-03,123,2.822
2019-05-04,124,4.557
2019-05-05,125,5.048
2019-05-06,126,3.402
2019-05-07,127,3.486
2019-05-08,128,0.851
2019-05-09,129,1.275
2019-05-10,130,4.837
2019-05-11,131,1.599
2019-05-12,132,1.835
2019-05-13,133,5.266
2019-05-14,134,2.886
2019-05-15,135,5.219
2019-05-16,136,7.369
2019-05-17,137,1.212
2019-05-18,138,3.681
2019-05-19,139,1.216
2019-05-20,140,3.54
2019-05-21,141,0.621
2019-05-22,142,6.648
2019-05-23,143,2.612
2019-05-24,144,3.569
2019-05-25,145,5.555
2019-05-26,146,6.261
2019-05-27,147,5.344
2019-05-28,148,0.973
2019-05-29,149,2.823
2019-05-30,150,3.798
2019-05-31,151,6.386
2019-06-01,152,6.413
2019-06-02,153,6.325
2019-06-03,154,3.946
2019-06-04,155,6.03
2019-06-05,156,6.646
2019-06-06,157,6.327
2019-06-07,158,8.7
2019-06-08,159,8.54
2019-06-09,160,5.771
2019-06-10,161,9.7
2019-06-11,162,4.901
2019-06-12,163,7.096
2019-06-13,164,7.281
2019-06-14,165,5.029
2019-06-15,166,5.285
2019-06-16,167,4.395
2019-06-17,168,3.437
2019-06-18,169,1.315
2019-06-19,170,3.206
2019-06-20,171,3.857
2019-06-21,172,1.553
2019-06-22,173,2.32
2019-06-23,174,3.056
2019-06-24,175,4.762
2019-06-25,176,7.078
2019-06-26,177,4.131
2019-06-27,178,4.562
2019-06-28,179,4.612
2019-06-29,180,6.606
2019-06-30,181,7.09
2019-07-01,182,6.357
2019-07-02,183,4.412
2019-07-03,184,3.744
2019-07-04,185,5.062
2019-07-05,186,4.942
2019-07-06,187,4.424
2019-07-07,188,4.992
2019-07-08,189,5.996
2019-07-09,190,5.19
2019-07-10,191,6.342
2019-07-11,192,4.597
2019-07-12,193,5.922
2019-07-13,194,3.2
2019-07-14,195,6.548
2019-07-15,196,5.619
2019-07-16,197,4.815
2019-07-17,198,2.169
2019-07-18,199,6.229
2019-07-19,200,6.886
2019-07-20,201,3.985
2019-07-21,202,2.819
2019-07-22,203,6.445
2019-07-23,204,5.448
2019-07-24,205,5.664
2019-07-25,206,4.056
2019-07-26,207,6.938
2019-07-27,208,5.974
2019-07-28,209,3.747
2019-07-29,210,5.877
2019-07-30,211,4.392
2019-07-31,212,2.754
2019-08-01,213,5.125
2019-08-02,214,5.384
2019-08-03,215,5.202
2019-08-04,216,5.183
2019-08-05,217,4.391
2019-08-06,218,5.439
2019-08-07,219,5.431
2019-08-08,220,4.833
2019-08-09,221,4.981
2019-08-10,222,4.484
2019-08-11,223,1.737
2019-08-12,224,1.773
2019-08-13,225,5.59
2019-08-14,226,2.994
2019-08-15,227,2.996
2019-08-16,228,3.706
2019-08-17,229,2.947
2019-08-18,230,3.398
2019-08-19,231,4.775
2019-08-20,232,4.364
2019-08-21,233,1.484
2019-08-22,234,4.655
2019-08-23,235,4.956
2019-08-24,236,4.544
2019-08-25,237,2.477
2019-08-26,238,1.763
2019-08-27,239,5.704
2019-08-28,240,5.422
2019-08-29,241,5.019
2019-08-30,242,4.139
2019-08-31,243,1.854
2019-09-01,244,3.546
2019-09-02,245,4.228
2019-09-03,246,2.938
2019-09-04,247,3.835
2019-09-05,248,4.533
2019-09-06,249,4.72
2019-09-07,250,2
2019-09-08,251,1.425
2019-09-09,252,1.292
2019-09-10,253,3.203
2019-09-11,254,2.904
2019-09-12,255,2.547
2019-09-13,256,3.706
2019-09-14,257,0.818
2019-09-15,258,3.425
2019-09-16,259,3.589
2019-09-17,260,4.995
2019-09-18,261,2.737
2019-09-19,262,2.354
2019-09-20,263,5.328
2019-09-21,264,0.878
2019-09-22,265,0.913
2019-09-23,266,3.718
2019-09-24,267,4.255
2019-09-25,268,2.851
2019-09-26,269,4.394
2019-09-27,270,1.339
2019-09-28,271,3.124
2019-09-29,272,0.504
2019-09-30,273,4.898
2019-10-01,274,0.843
2019-10-02,275,0.458
2019-10-03,276,1.845
2019-10-04,277,2.266
2019-10-05,278,1.269
2019-10-06,279,2.344
2019-10-07,280,2.945
2019-10-08,281,4.395
2019-10-09,282,3.127
2019-10-10,283,0.247
2019-10-11,284,1.457
2019-10-12,285,2.942
2019-10-13,286,1.714
2019-10-14,287,2.735
2019-10-15,288,2.807
2019-10-16,289,1.059
2019-10-17,290,2.902
2019-10-18,291,5.199
2019-10-19,292,1.423
2019-10-20,293,2.679
2019-10-21,294,1.216
2019-10-22,295,3.006
2019-10-23,296,0.898
2019-10-24,297,1.524
2019-10-25,298,1.797
2019-10-26,299,1.428
2019-10-27,300,1.101
2019-10-28,301,1.618
2019-10-29,302,1.249
2019-10-30,303,1.084
2019-10-31,304,1.831
2019-11-01,305,0.593
2019-11-02,306,1.542
2019-11-03,307,1.056
2019-11-04,308,1.45
2019-11-05,309,0.967
2019-11-06,310,1.203
2019-11-07,311,0.844
2019-11-08,312,1.521
2019-11-09,313,1.846
2019-11-10,314,0.721
2019-11-11,315,0.726
2019-11-12,316,0.668
2019-11-13,317,0.548
2019-11-14,318,0.767
2019-11-15,319,1.25
2019-11-16,320,1.607
2019-11-17,321,0.16
2019-11-18,322,0.512
2019-11-19,323,1.114
2019-11-20,324,1.711
2019-11-21,325,0.367
2019-11-22,326,0.437
2019-11-23,327,0.933
2019-11-24,328,1.252
2019-11-25,329,1.486
2019-11-26,330,0.271
2019-11-27,331,0.515
2019-11-28,332,0.367
2019-11-29,333,0.134
2019-11-30,334,0.158
2019-12-01,335,0.253
2019-12-02,336,0.593
2019-12-03,337,1.077
2019-12-04,338,1.014
2019-12-05,339,0.863
2019-12-06,340,0.325
2019-12-07,341,1.128
2019-12-08,342,0.578
2019-12-09,343,0.274
2019-12-10,344,0.377
2019-12-11,345,0.479
2019-12-12,346,0.536
2019-12-13,347,0.155
2019-12-14,348,0.407
2019-12-15,349,0.227
2019-12-16,350,0.338
2019-12-17,351,0.59
2019-12-18,352,0.582
2019-12-19,353,0.937
2019-12-20,354,1.133
2019-12-21,355,1.506
2019-12-22,356,1.568
2019-12-23,357,0.716
2019-12-24,358,0.68
2019-12-25,359,1.226
2019-12-26,360,0.418
2019-12-27,361,0.752
2019-12-28,362,0.084
2019-12-29,363,0.431
2019-12-30,364,0.392
2019-12-31,365,0.534
